id,owner_id,title,status,sub_status,seo_url,description,jobs,submitdate,preview_description,deleted,nonpublic,hidebids,type,bidperiod,featured,urgent,assisted,active_prepaid_milestone,time_submitted,time_updated,qualifications,language,attachments,hireme,hireme_initial_bid,invited_freelancers,recommended_freelancers,frontend_project_status,nda_signatures,true_location,local,negotiated,negotiated_bid,time_free_bids_expire,can_post_review,files,user_distance,from_user_location,project_collaborations,support_sessions,track_ids,drive_files,nda_details,pool_ids,enterprise_ids,timeframe,deloitte_details,is_escrow_project,is_seller_kyc_required,is_buyer_kyc_required,local_details,equipment,nda_signatures_new,billing_code,enterprises,enterprise_metadata_values,repost_id,client_engagement,contract_signatures,quotation_id,quotation_version_id,enterprise_linked_projects_details,equipment_groups,project_source,project_source_reference,quality_details,previous_recruiter_project_details,project_note,is_quotation_project,quotation_initial_bid,requires_upfront_funding,group_ids,currency.id,currency.code,currency.sign,currency.name,currency.exchange_rate,currency.country,currency.is_external,currency.is_escrowcom_supported,budget.minimum,budget.maximum,budget.name,budget.project_type,budget.currency_id,hourly_project_info.commitment.hours,hourly_project_info.commitment.interval,hourly_project_info.duration_enum,bid_stats.bid_count,bid_stats.bid_avg,upgrades.featured,upgrades.sealed,upgrades.nonpublic,upgrades.fulltime,upgrades.urgent,upgrades.qualified,upgrades.NDA,upgrades.assisted,upgrades.active_prepaid_milestone,upgrades.ip_contract,upgrades.success_bundle,upgrades.non_compete,upgrades.project_management,upgrades.pf_only,upgrades.recruiter,upgrades.listed,upgrades.extend,upgrades.unpaid_recruiter,upgrades.premium,upgrades.enterprise,location.country.name,location.country.flag_url,location.country.code,location.country.highres_flag_url,location.country.flag_url_cdn,location.country.highres_flag_url_cdn,location.country.iso3,location.country.region_id,location.country.phone_code,location.country.demonym,location.country.person,location.country.seo_url,location.country.sanction,location.country.language_code,location.country.language_id,location.city,location.latitude,location.longitude,location.vicinity,location.administrative_area,location.full_address,location.administrative_area_code,location.postal_code,location.id,project_reject_reason.description,project_reject_reason.message,hourly_project_info
37861399,52741105,Ricerca programmatore esperto in Generative Video AI,active,,python/Ricerca-programmatore-esperto-Generative,,,1710066962,Siamo alla ricerca di un programmatore altamente qualificato con esperienza specifica nella creazion,False,False,False,hourly,7,False,False,,,1710066962,1710066962,,it,,False,,,,open,,,False,False,,1710063345,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],8,EUR,€,Euro,1.09435,EU,False,True,12.0,18.0,,,,40.0,week,unspecified,3,48.333333333333336,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
37861390,59259360,Python AWS API Gateway CORS Setup,active,,amazon-web-services/Python-AWS-API-Gateway-CORS,,,1710066704,I'm in need of an expert in both AWS API Gateway to help set up the handling of CORS for my backend.,False,False,False,fixed,7,False,False,,,1710066704,1710066704,,en,,False,,,,open,,,False,False,,1710063104,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],8,EUR,€,Euro,1.09435,EU,False,True,30.0,250.0,,,,,,,17,162.2941176470588,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
37861326,74856184,Python Script ORCA DeFi Open/Close CLMM Position -- 2,active,,python/Python-Script-ORCA-DeFi-Open-37861326,,,1710065148,"We need a python script to open and close CLMM Positions at ORCA DeFi.
No Gui, just simple Python Sc",False,False,False,hourly,7,False,False,,,1710065148,1710065148,,en,,False,,,,open,,,False,False,,1710061548,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],1,USD,$,US Dollar,1.0,US,False,True,25.0,50.0,,,,40.0,week,unspecified,20,32.3,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
37861314,54515054,Python Dev for Wind Turbine Optimization,active,,python/Python-Dev-for-Wind-Turbine,,,1710064702,I'm seeking a competent python developer well-versed in aerodynamics to assist with my vertical axis,False,False,False,hourly,7,False,False,,,1710064702,1710064702,,en,,False,,,,open,,,False,False,,1710061095,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],1,USD,$,US Dollar,1.0,US,False,True,15.0,25.0,,,,40.0,week,unspecified,22,18.727272727272727,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
37861226,7829884,Web App Based Conversational Bot Development,active,,javascript/Web-App-Based-Conversational-Bot,,,1710062303,"I need a skilled conversational bot (with LLM) developer with expertise in JavaScript, Python, and p",False,False,False,fixed,7,False,False,,,1710062303,1710062303,,en,,False,,,,open,,,False,False,,1710058703,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],1,USD,$,US Dollar,1.0,US,False,True,250.0,750.0,,,,,,,36,651.9975,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
37861157,75021411,Numerical Data Analysis & Cleansing,active,,python/Numerical-Data-Analysis-Cleansing,,,1710061156,I'm looking for a data professional who can systematically clean and analyze a dataset containing nu,False,False,False,fixed,7,False,False,,,1710061156,1710061156,,en,,False,,,,open,,,False,False,,1710057414,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],11,INR,₹,Indian Rupee,0.012084,IN,False,False,600.0,1500.0,,,,,,,20,1264.45,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
37861001,75020555,E-commerce Web Development with Python,active,,python/commerce-Web-Development-with-Python,,,1710056813,I'm seeking a skilled Python Developer to accomplish several tasks. Your primary responsibility is t,False,False,False,fixed,7,False,False,,,1710056813,1710056813,,en,,False,,,,open,,,False,False,,1710110676,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],11,INR,₹,Indian Rupee,0.012084,IN,False,False,12500.0,37500.0,,,,,,,15,24666.666666666668,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
37861000,28043563,Email Marketing Solution ,active,,python/Email-Marketing-Solution,,,1710056669,We are seeking a competent developer experienced in Python to create an automated bot for LinkedIn. ,False,False,False,fixed,7,False,False,,,1710056669,1710056669,,en,,False,,,,open,,,False,False,,1710053069,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],1,USD,$,US Dollar,1.0,US,False,True,30.0,250.0,,,,,,,9,223.77777777777777,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
37860962,24979827,Python Pro for ML Data Categorisation,active,,python/Python-Pro-for-Data-Categorisation,,,1710055232,I'm in need of a highly skilled expert in Machine Learning and Data Science who can handle complex c,False,False,False,fixed,7,False,False,,,1710055232,1710055232,,en,,False,,,,open,,,False,False,,1710055352,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],11,INR,₹,Indian Rupee,0.012084,IN,False,False,10000.0,15000.0,,,,,,,25,12132.0,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
37860915,73365304, Full stack developer to create a DDEX Music Supply independent digital music distribution service.,active,,php/Full-stack-developer-create-DDEX-37860915,,,1710054584,Im looking for a developer with experience on building a DDEX distribution system where the user can,False,False,False,fixed,7,False,False,,,1710054584,1710054584,,en,,False,,,,open,,,False,False,,1710061475,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],1,USD,$,US Dollar,1.0,US,False,True,750.0,1500.0,,,,,,,21,1064.2857142857142,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
37860894,74842457,Python Developer for Email Automation,active,,python/Python-Developer-for-Email-Automation-37860894,,,1710053593,I'm seeking a skilled Python developer to automate repetitive tasks tailored specifically to email a,False,False,False,hourly,490,False,False,,,1710053593,1710053593,,en,,False,,,,open,,,False,False,,1710049987,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],1,USD,$,US Dollar,1.0,US,False,True,15.0,25.0,,,,40.0,week,unspecified,33,18.803030303030305,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
37860729,75018034,Data Analysis Expert Wanted,active,,data-mining/Data-Analysis-Expert-Wanted,,,1710049517,I’m seeking an experienced coder for an exciting data analysis project. I haven't specified the prog,False,False,False,fixed,7,False,False,,,1710049517,1710049517,,en,,False,,,,open,,,False,False,,1710045011,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],1,USD,$,US Dollar,1.0,US,False,True,10.0,30.0,,,,,,,10,81.6,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
37860647,51045059,Python Developer for Diverse Tasks,active,,python/Python-Developer-for-Diverse-Tasks,,,1710045414,I shifted my server I want Python Developer to publish my code at my new server  - task will be remo,False,False,False,fixed,7,False,False,,,1710045414,1710045414,,en,,False,,,,open,,,False,False,,1710041814,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],3,AUD,$,Australian Dollar,0.664386,AU,False,True,10.0,30.0,,,,,,,24,50.833333333333336,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
37860607,17778759,Divi Website Development and Design Consultancy,active,,wordpress/Divi-Website-Development-Design,,,1710043773,"I need a WordPress website built, preferably with Divi.The website is for a new business that manufa",False,False,False,fixed,7,False,False,,,1710043773,1710043773,,en,,False,,,,open,,,False,False,,1710040173,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],1,USD,$,US Dollar,1.0,US,False,True,250.0,750.0,,,,,,,91,468.46153846153845,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
37859106,18927833,Making changes to an existing Usenet Search Engine Website (NNTP) -- 2,active,,php/Making-changes-existing-Usenet-Search-37859106,,,1709998895,"Please read completely before placing a bid !
Please bid only if you also plan to respond...
Please ",False,False,False,fixed,7,False,False,,,1709998895,1710042488,,en,,False,,,,open,,,False,False,,1710004895,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],1,USD,$,US Dollar,1.0,US,False,True,10.0,30.0,,,,,,,14,36.07142857142857,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
37860565,71878526,BLE Beacon Indoor Navigation Specialist,active,,python/BLE-Beacon-Indoor-Navigation-Specialist,,,1710042289,"I'm in need of a seasoned expert in indoor positioning technology, specifically one with high-level ",False,False,False,fixed,7,False,False,,,1710042289,1710042289,,en,,False,,,,open,,,False,False,,1710048289,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],6,SGD,$,Singapore Dollar,0.749963,SG,False,False,750.0,1500.0,,,,,,,36,1142.1944444444443,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
37860466,42964116,Ladder Language IDE for programming and debugging  for STM32MCU,active,,c-programming/Ladder-Language-IDE-for-programming,,,1710039158,"I'm searching for an experienced developer experienced in software and embedded systems.

This proje",False,False,False,fixed,7,False,False,,,1710039158,1710039158,,en,,False,,,,open,,,False,False,,1710035558,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],11,INR,₹,Indian Rupee,0.012084,IN,False,False,150000.0,250000.0,,,,,,,3,170000.0,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
37860309,3813525,Skilled Python Developer for User Management,active,,python/Skilled-Python-Developer-for-User,,,1710032975,"I would like a ""reasonable"" (video verified) by the hour price also. long time work.  I will assist.",False,False,False,fixed,7,False,False,,,1710032975,1710032975,,en,,False,,,,open,,,False,False,,1710029375,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],1,USD,$,US Dollar,1.0,US,False,True,250.0,750.0,,,,,,,69,496.10130434782616,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
37860303,75015127,"Full Stack Engineer, Multilingual",active,,python/Full-Stack-Engineer-Multilingual,,,1710032822,"As your ideal freelancer, I am seeking a Full Stack Engineer skilled in an array of languages to bui",False,False,False,fixed,7,False,False,,,1710032822,1710032822,,en,,False,,,,open,,,False,False,,1710039858,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],1,USD,$,US Dollar,1.0,US,False,True,3000.0,5000.0,,,,,,,30,4206.333333333333,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
37860033,18356401,Development of a dashboard of real estate price alanysis,active,,python/Development-dashboard-real-estate-price,,,1710023085,We are seeking an experienced freelance developer to create a custom dashboard for analyzing real es,False,False,False,fixed,7,False,False,,,1710023085,1710023085,,en,,False,,,,open,,,False,False,,1710019485,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],1,USD,$,US Dollar,1.0,US,False,True,30.0,250.0,,,,,,,29,165.82758620689654,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
