id,owner_id,title,status,seo_url,submitdate,preview_description,type,bidperiod,time_submitted,time_updated,language,frontend_project_status,time_free_bids_expire,pool_ids,enterprise_ids,enterprises,group_ids,currency_id,currency_code,currency_sign,currency_name,currency_exchange_rate,currency_country,currency_is_escrowcom_supported,budget_minimum,budget_maximum,hourly_project_info_commitment_hours,hourly_project_info_commitment_interval,hourly_project_info_duration_enum,bid_stats_bid_count,bid_stats_bid_avg
37861399,52741105,Ricerca programmatore esperto in Generative Video AI,active,python/Ricerca-programmatore-esperto-Generative,1710066962,Siamo alla ricerca di un programmatore altamente qualificato con esperienza specifica nella creazion,hourly,7,1710066962,1710066962,it,open,1710063345,['freelancer'],[],[],[],8,EUR,€,Euro,1.09435,EU,True,12.0,18.0,40.0,week,unspecified,3,48.333333333333336
37861390,59259360,Python AWS API Gateway CORS Setup,active,amazon-web-services/Python-AWS-API-Gateway-CORS,1710066704,I'm in need of an expert in both AWS API Gateway to help set up the handling of CORS for my backend.,fixed,7,1710066704,1710066704,en,open,1710063104,['freelancer'],[],[],[],8,EUR,€,Euro,1.09435,EU,True,30.0,250.0,,,,17,162.2941176470588
37861326,74856184,Python Script ORCA DeFi Open/Close CLMM Position -- 2,active,python/Python-Script-ORCA-DeFi-Open-37861326,1710065148,"We need a python script to open and close CLMM Positions at ORCA DeFi.
No Gui, just simple Python Sc",hourly,7,1710065148,1710065148,en,open,1710061548,['freelancer'],[],[],[],1,USD,$,US Dollar,1.0,US,True,25.0,50.0,40.0,week,unspecified,20,32.3
37861314,54515054,Python Dev for Wind Turbine Optimization,active,python/Python-Dev-for-Wind-Turbine,1710064702,I'm seeking a competent python developer well-versed in aerodynamics to assist with my vertical axis,hourly,7,1710064702,1710064702,en,open,1710061095,['freelancer'],[],[],[],1,USD,$,US Dollar,1.0,US,True,15.0,25.0,40.0,week,unspecified,22,18.727272727272727
37861226,7829884,Web App Based Conversational Bot Development,active,javascript/Web-App-Based-Conversational-Bot,1710062303,"I need a skilled conversational bot (with LLM) developer with expertise in JavaScript, Python, and p",fixed,7,1710062303,1710062303,en,open,1710058703,['freelancer'],[],[],[],1,USD,$,US Dollar,1.0,US,True,250.0,750.0,,,,36,651.9975
37861157,75021411,Numerical Data Analysis & Cleansing,active,python/Numerical-Data-Analysis-Cleansing,1710061156,I'm looking for a data professional who can systematically clean and analyze a dataset containing nu,fixed,7,1710061156,1710061156,en,open,1710057414,['freelancer'],[],[],[],11,INR,₹,Indian Rupee,0.012084,IN,False,600.0,1500.0,,,,20,1264.45
37861001,75020555,E-commerce Web Development with Python,active,python/commerce-Web-Development-with-Python,1710056813,I'm seeking a skilled Python Developer to accomplish several tasks. Your primary responsibility is t,fixed,7,1710056813,1710056813,en,open,1710110676,['freelancer'],[],[],[],11,INR,₹,Indian Rupee,0.012084,IN,False,12500.0,37500.0,,,,15,24666.666666666668
37861000,28043563,Email Marketing Solution ,active,python/Email-Marketing-Solution,1710056669,We are seeking a competent developer experienced in Python to create an automated bot for LinkedIn. ,fixed,7,1710056669,1710056669,en,open,1710053069,['freelancer'],[],[],[],1,USD,$,US Dollar,1.0,US,True,30.0,250.0,,,,9,223.77777777777777
37860962,24979827,Python Pro for ML Data Categorisation,active,python/Python-Pro-for-Data-Categorisation,1710055232,I'm in need of a highly skilled expert in Machine Learning and Data Science who can handle complex c,fixed,7,1710055232,1710055232,en,open,1710055352,['freelancer'],[],[],[],11,INR,₹,Indian Rupee,0.012084,IN,False,10000.0,15000.0,,,,25,12132.0
37860915,73365304, Full stack developer to create a DDEX Music Supply independent digital music distribution service.,active,php/Full-stack-developer-create-DDEX-37860915,1710054584,Im looking for a developer with experience on building a DDEX distribution system where the user can,fixed,7,1710054584,1710054584,en,open,1710061475,['freelancer'],[],[],[],1,USD,$,US Dollar,1.0,US,True,750.0,1500.0,,,,21,1064.2857142857142
37860894,74842457,Python Developer for Email Automation,active,python/Python-Developer-for-Email-Automation-37860894,1710053593,I'm seeking a skilled Python developer to automate repetitive tasks tailored specifically to email a,hourly,490,1710053593,1710053593,en,open,1710049987,['freelancer'],[],[],[],1,USD,$,US Dollar,1.0,US,True,15.0,25.0,40.0,week,unspecified,33,18.803030303030305
37860729,75018034,Data Analysis Expert Wanted,active,data-mining/Data-Analysis-Expert-Wanted,1710049517,I’m seeking an experienced coder for an exciting data analysis project. I haven't specified the prog,fixed,7,1710049517,1710049517,en,open,1710045011,['freelancer'],[],[],[],1,USD,$,US Dollar,1.0,US,True,10.0,30.0,,,,10,81.6
37860647,51045059,Python Developer for Diverse Tasks,active,python/Python-Developer-for-Diverse-Tasks,1710045414,I shifted my server I want Python Developer to publish my code at my new server  - task will be remo,fixed,7,1710045414,1710045414,en,open,1710041814,['freelancer'],[],[],[],3,AUD,$,Australian Dollar,0.664386,AU,True,10.0,30.0,,,,24,50.833333333333336
37860607,17778759,Divi Website Development and Design Consultancy,active,wordpress/Divi-Website-Development-Design,1710043773,"I need a WordPress website built, preferably with Divi.The website is for a new business that manufa",fixed,7,1710043773,1710043773,en,open,1710040173,['freelancer'],[],[],[],1,USD,$,US Dollar,1.0,US,True,250.0,750.0,,,,91,468.46153846153845
37859106,18927833,Making changes to an existing Usenet Search Engine Website (NNTP) -- 2,active,php/Making-changes-existing-Usenet-Search-37859106,1709998895,"Please read completely before placing a bid !
Please bid only if you also plan to respond...
Please ",fixed,7,1709998895,1710042488,en,open,1710004895,['freelancer'],[],[],[],1,USD,$,US Dollar,1.0,US,True,10.0,30.0,,,,14,36.07142857142857
37860565,71878526,BLE Beacon Indoor Navigation Specialist,active,python/BLE-Beacon-Indoor-Navigation-Specialist,1710042289,"I'm in need of a seasoned expert in indoor positioning technology, specifically one with high-level ",fixed,7,1710042289,1710042289,en,open,1710048289,['freelancer'],[],[],[],6,SGD,$,Singapore Dollar,0.749963,SG,False,750.0,1500.0,,,,36,1142.1944444444443
37860466,42964116,Ladder Language IDE for programming and debugging  for STM32MCU,active,c-programming/Ladder-Language-IDE-for-programming,1710039158,"I'm searching for an experienced developer experienced in software and embedded systems.

This proje",fixed,7,1710039158,1710039158,en,open,1710035558,['freelancer'],[],[],[],11,INR,₹,Indian Rupee,0.012084,IN,False,150000.0,250000.0,,,,3,170000.0
37860309,3813525,Skilled Python Developer for User Management,active,python/Skilled-Python-Developer-for-User,1710032975,"I would like a ""reasonable"" (video verified) by the hour price also. long time work.  I will assist.",fixed,7,1710032975,1710032975,en,open,1710029375,['freelancer'],[],[],[],1,USD,$,US Dollar,1.0,US,True,250.0,750.0,,,,69,496.10130434782616
37860303,75015127,"Full Stack Engineer, Multilingual",active,python/Full-Stack-Engineer-Multilingual,1710032822,"As your ideal freelancer, I am seeking a Full Stack Engineer skilled in an array of languages to bui",fixed,7,1710032822,1710032822,en,open,1710039858,['freelancer'],[],[],[],1,USD,$,US Dollar,1.0,US,True,3000.0,5000.0,,,,30,4206.333333333333
37860033,18356401,Development of a dashboard of real estate price alanysis,active,python/Development-dashboard-real-estate-price,1710023085,We are seeking an experienced freelance developer to create a custom dashboard for analyzing real es,fixed,7,1710023085,1710023085,en,open,1710019485,['freelancer'],[],[],[],1,USD,$,US Dollar,1.0,US,True,30.0,250.0,,,,29,165.82758620689654
